EnrollmentID,NAME OF STUDENT,IA-1 (30),IA-2 (30),IA-3 (30),Assignment %
23cse0095,Gopal Naidu,18,AB,24,68
23cse0096,Harini Ghosh,24,22,26,92
23cse0097,Sneha Hegde,23,18,25,100
 23cse0098 ,Praveen Hegde,22,17,23,74
23cse0099,Yash Tiwari,18,19,25,78
23cse0100,Divya Yadav,20,18,19,84
23cse0101,Vaishnavi Hegde,30,19,18,66
 23cse0102 ,Ruth Dutta,27,24,23,93
 23cse0103 ,Divya Bajaj,19,15,15,93
23cse0104,Ramya Mehta,22,20,24,94
23cse0105,Meera Sequeira,27,28,26,80
23cse0106,Amit Gowda,22,25,24,69
23cse0107,Sandeep Khanna,29,27,30,75
23cse0108,Bharat Chowdary,27,24,26,100
23cse0109,Vikram Khanna,26,18,20,72
23cse0110,Sagar Chauhan,29,19,20,68
23cse0111,Vikram Khanna,24,24,AB,79
23cse0112,Aishwarya Kulkarni,26,27,,88
 23cse0113 ,Hemant Singh,23,23,28,81
23cse0114,Mahesh Patel,18,20,23,95
23cse0115,Mahesh Rao,26,28,22,78
 23cse0116 ,Irfan Menon,27,26,,91
 23cse0117 ,Ishita Mukherjee,20,19,15,49
23cse0118,Arjun Bajaj,28,19,26,79
23cse0119,Vivek Menon,22,25,19,80
23cse0120,Hemant Nambiar,25,25,24,91
 22cse0001 ,Pallavi Gowda,22,19,19,86
22cse0002,Rahul Sharma,19,11,16,66
22cse0003,Suresh Dutta,22,23,22,74
22cse0004,Anita Verma,24,19,16,64
22cse0005,Gaurav Jain,19,20,16,77
22cse0006,Deepika Sharma,18,26,18,70
22cse0007,Pooja Acharya,18,27,22,93
 22cse0008 ,Jatin Hegde,25,21,26,86
22cse0009,Deepika Reddy,18,18,26,86
22cse0010,Kavya Naidu,19,25,23,100
22cse0011,Bhavana Joshi,30,20,25,84
22cse0012,Kalyani Prasad,23,20,,72
22cse0013,Sagar Wadhwa,26,16,21,81
22cse0014,Kavya Khanna,15,23,17,45
22cse0015,Vikram Trivedi,26,21,21,76
22cse0016,Nikhil Nair,22,13,,74
22cse0017,Gaurav Dutta,27,21,,83
22cse0018,Ramya Kulkarni,20,AB,18,62
22cse0019,Divya Thakur,27,AB,17,93
22cse0020,Mahesh Bose,14,20,18,37
22cse0021,Rekha Oberoi,16,10,9,44
22cse0022,Sanjana Sharma,27,26,19,92
22cse0023,Rekha Sharma,26,25,20,99
22cse0024,Omkar Sharma,17,16,,61
 22cse0025 ,Rukhsar Menon,24,20,22,84
22cse0026,Rukhsar Das,20,22,,66
22cse0027,Deepika Prasad,19,22,24,90
22cse0028,Aparna Dubey,22,21,11,85
22cse0029,Prerana Chopra,26,24,21,90
22cse0030,Amit Tiwari,22,17,23,74
22cse0031,Bharat Kamath,12,11,18,74
22cse0032,Sagar Ghosh,16,AB,18,77
22cse0033,Omkar Bhandari,23,20,19,81
22cse0034,Varun Varma,21,20,16,75
22cse0035,Vikram Nambiar,23,26,28,96
22cse0036,Divya Khanna,30,25,26,80
22cse0037,Ruth Varma,20,16,19,54
22cse0038,Malini Singh,22,30,26,83
22cse0039,Nithya Prasad,18,27,24,71
22cse0040,Manoj Tiwari,27,AB,20,83
22cse0041,Ananya Joshi,26,23,AB,100
22cse0042,Suresh Gowda,22,24,24,78
22cse0043,Gaurav Naidu,16,24,22,100
22cse0044,Aishwarya Menon,23,23,21,98
22cse0045,Chetan Kulkarni,28,30,25,98
22cse0046,Varsha Wadhwa,24,24,25,82
22cse0047,Prakash Lal,17,AB,9,61
22cse0048,Tejaswi Mehta,22,17,24,83
22cse0049,Swathi Reddy,21,24,18,69
22cse0050,Chetan Bajaj,26,23,24,77
22cse0051,Ayesha Sequeira,29,18,21,80
22cse0052,Madhuri Kulkarni,28,16,29,100
22cse0053,Suresh Verma,18,23,25,79
22cse0054,Sagar Ghosh,24,24,28,100
22cse0055,Sagar Pillai,21,22,30,75
22cse0056,Pallavi Rao,29,21,21,86
22cse0057,Vishal Hegde,27,21,24,92
22cse0058,Kavya Sinha,21,18,21,90
22cse0059,Grace Bhat,21,AB,20,62
22cse0060,Prerana Ghosh,25,24,17,94
22cse0061,Malini Chopra,23,21,22,74
22cse0062,Aishwarya Panicker,28,26,28,95
22cse0063,Rohan Shetty,28,28,21,81
 22cse0064 ,Rakesh Mukherjee,29,24,27,77
22cse0065,Aarav Varma,18,23,22,75
22cse0066,Vikram Gupta,27,29,30,100
22cse0067,Kalyani Reddy,23,25,24,96
22cse0068,Fahad Lal,17,14,18,70
22cse0069,Anita Mukherjee,19,22,22,88
22cse0070,Preeti Gowda,16,20,22,80
22cse0071,Anita Kamath,25,21,30,84
22cse0072,Ishita Kulkarni,29,29,25,92
22cse0073,Sneha Mehta,27,24,18,62
22cse0074,Vishal Mukherjee,21,16,21,56
22cse0075,Sneha Gupta,19,24,28,83
22cse0076,Anil Gowda,23,23,21,76
22cse0077,Gaurav Varma,24,24,17,64
22cse0078,Nagraj Malhotra,22,21,15,54
22cse0079,Kavya Bhat,24,23,21,79
 22cse0080 ,Nitin Kaur,18,23,30,100
22cse0081,Samuel Dubey,29,30,25,99
22cse0082,Rekha Desai,28,23,24,100
22cse0083,Meera Malhotra,25,23,20,84
 22cse0084 ,Karthik Lal,21,18,22,74
22cse0085,Aparna Pillai,24,27,AB,96
22cse0086,Lakshmi Joshi,20,18,,65
22cse0087,Vishal Rathore,13,21,17,79
22cse0088,Fahad Nair,21,23,20,65
22cse0089,Aarav Trivedi,21,19,17,55
 22cse0090 ,Thomas Rathore,30,26,28,100
22cse0091,Trisha Verma,20,26,22,73
22cse0092,Chetan Varma,24,18,23,90
22cse0093,Devika Yadav,25,22,21,100
22cse0094,Sagar Gowda,28,30,27,88
22cse0095,Lakshmi Khanna,20,22,24,84
22cse0096,Rukhsar Shetty,22,15,18,74
22cse0097,Jyothi Pillai,20,24,23,49
22cse0098,Ishita Dubey,22,26,AB,69
22cse0099,Anita Tiwari,16,23,15,78
22cse0100,Pooja Sequeira,17,20,25,80
22cse0101,Ishita Jain,30,24,21,92
22cse0102,Devika Chauhan,20,15,26,67
22cse0103,Zubair Mehta,22,28,24,100
22cse0104,Praveen Thakur,AB,22,,81
22cse0105,Aditya Yadav,18,20,14,70
22cse0106,Tejaswi Banerjee,30,28,30,100
22cse0107,Praveen Dubey,22,24,27,100
22cse0108,Gayatri Wadhwa,27,30,24,97
22cse0109,Varsha Oberoi,14,14,7,62
22cse0110,Lakshmi Sinha,22,26,21,63
22cse0111,Aishwarya Mishra,25,23,20,83
22cse0112,Swathi Kamath,17,AB,18,73
22cse0113,Bharat Sequeira,16,22,16,66
22cse0114,Sathish Yadav,21,26,21,76
22cse0115,Esther Trivedi,22,23,24,77
22cse0116,Farah Thakur,23,19,21,81
22cse0117,Amit Gowda,23,14,20,77
22cse0118,Gayatri Wadhwa,20,18,16,68
22cse0119,Mahesh Gowda,21,15,18,92
22cse0120,Chaitra Agarwal,23,AB,27,99
21cse0001,Jyothi Desai,22,29,30,81
21cse0002,Kunal Reddy,22,18,20,76
 21cse0003 ,Rahul Chowdary,18,19,23,83
21cse0004,Ravi Kamath,24,28,24,75
21cse0005,Trisha Lal,21,16,AB,84
 21cse0006 ,Lakshmi Sharma,23,AB,19,93
21cse0007,Sana Banerjee,17,22,25,69
21cse0008,Vaishnavi Wadhwa,14,18,22,57
21cse0009,Trisha Dutta,29,27,25,73
21cse0010,Suresh Bajaj,20,19,23,100
21cse0011,Priya Verma,17,14,17,63
21cse0012,Kiran Malhotra,21,16,18,74
21cse0013,Karthik Chowdary,22,19,22,58
21cse0014,Anjali Gupta,28,17,19,95
21cse0015,Bhavana Agarwal,20,19,28,76
21cse0016,Hemant Mukherjee,30,25,21,79
21cse0017,Pooja Saxena,21,20,23,58
21cse0018,Varsha Varma,22,25,23,74
21cse0019,Lokesh Mukherjee,21,21,17,36
21cse0020,Omkar Chowdary,22,21,22,79
 21cse0021 ,Lokesh Trivedi,21,25,27,96
21cse0022,Abhinav Bajaj,26,22,19,84
21cse0023,Shreya Patel,17,21,19,85
21cse0024,Joseph Pillai,15,16,17,75
21cse0025,Nitin Iyer,18,16,16,60
21cse0026,Rakesh Chauhan,AB,16,20,65
21cse0027,Madhuri Joshi,22,22,23,89
 21cse0028 ,Bharat Mehta,19,22,24,74
21cse0029,Imran Agarwal,23,22,24,63
21cse0030,Deepika Dubey,25,20,24,99
 21cse0031 ,Ramya Sinha,21,17,17,76
21cse0032,Sneha Sinha,23,22,28,100
 21cse0033 ,Arjun Fernandes,20,AB,14,61
21cse0034,Dinesh Prasad,22,15,20,87
21cse0035,Meera Raut,28,26,20,100
21cse0036,Karthik Bhat,19,15,24,55
21cse0037,Varsha Kaur,23,23,28,81
21cse0038,Anusha Prasad,23,24,22,59
21cse0039,Umesh Tiwari,19,25,AB,88
 21cse0040 ,Kiran Mehta,21,28,26,71
 21cse0041 ,Pooja Patel,27,20,22,73
21cse0042,Neha Saxena,22,25,24,89
21cse0043,Prerana Saxena,19,21,17,85
21cse0044,Grace Jain,23,22,20,75
21cse0045,Malini Sharma,30,23,24,78
21cse0046,Nithya Desai,26,29,21,77
21cse0047,Aishwarya Thakur,27,23,24,77
21cse0048,Nithya Bajaj,22,21,17,91
21cse0049,Vivek Mukherjee,18,24,15,78
21cse0050,Ishita Prasad,25,30,30,82
 21cse0051 ,Anusha Joshi,16,26,26,99
21cse0052,Ritika Verma,22,30,28,67
21cse0053,Nithya Agarwal,24,18,24,95
21cse0054,Shweta Oberoi,22,22,23,80
21cse0055,Bharat Varma,19,17,20,58
 21cse0056 ,Anil Rao,12,15,17,67
21cse0057,Nikhil Fernandes,19,27,24,67
21cse0058,Umesh Dutta,25,23,21,91
21cse0059,Thomas Sinha,20,22,18,67
 21cse0060 ,Ishita Dutta,26,24,29,100
21cse0061,Tarun Dubey,18,20,24,81
21cse0062,Ajay Yadav,26,27,28,96
21cse0063,Trisha Sharma,13,16,24,75
21cse0064,Varun Kaur,AB,21,27,78
21cse0065,Hemant Acharya,21,19,15,80
21cse0066,Grace Bajaj,24,29,23,69
21cse0067,Rahul Yadav,22,16,20,84
 21cse0068 ,Priya Singh,20,14,16,52
21cse0069,Sanjana Tiwari,22,18,25,81
 21cse0070 ,Ruth Patel,19,17,19,78
21cse0071,Deepika Sinha,25,27,27,92
 21cse0072 ,Joseph Panicker,26,25,30,78
21cse0073,Nandini Yadav,20,21,15,86
21cse0074,Kavya Trivedi,21,27,25,100
21cse0075,Nitin Chowdary,20,22,23,80
21cse0076,Sandeep Saxena,21,27,23,72
21cse0077,Preeti Pillai,14,25,25,75
21cse0078,Rakesh Jain,28,23,27,88
21cse0079,Rakesh Menon,22,23,21,70
21cse0080,Anjali Sequeira,20,14,20,100
21cse0081,Harini Patel,23,25,20,86
21cse0082,Vaishnavi Kamath,20,22,20,100
 21cse0083 ,Rohit Yadav,23,24,26,92
21cse0084,Ruth Patel,14,21,16,62
21cse0085,Raghav Bhandari,30,24,24,95
21cse0086,Rakesh Rathore,22,20,21,78
21cse0087,Gaurav Mukherjee,16,15,AB,85
21cse0088,Sneha Yadav,14,23,22,94
21cse0089,Imran Prasad,15,17,AB,69
21cse0090,Dinesh Bose,26,25,AB,100
21cse0091,Sathish Acharya,22,AB,26,89
21cse0092,Ravi Khanna,25,21,22,73
 21cse0093 ,Charan Sequeira,19,20,16,76
21cse0094,Swathi Trivedi,23,18,27,87
21cse0095,Prerana Verma,18,18,22,62
 21cse0096 ,Sowmya Sequeira,30,22,25,100
21cse0097,Shweta Rathore,21,28,AB,92
21cse0098,Sushma Vaidya,17,17,15,64
21cse0099,Keerthi Shetty,24,25,17,90
21cse0100,Rakesh Gowda,22,23,20,72
21cse0101,Ishita Pillai,18,25,22,94
 21cse0102 ,Nitin Wadhwa,20,15,13,56
21cse0103,Rahul Khanna,24,23,19,77
 21cse0104 ,Ruth Agarwal,22,16,24,76
21cse0105,Raghav Dutta,28,30,25,100
21cse0106,Anjali Patel,23,26,29,100
21cse0107,Aparna Gupta,25,21,22,69
21cse0108,Fahad Chauhan,25,21,,80
21cse0109,Dinesh Ghosh,19,25,24,97
21cse0110,Dinesh Nambiar,19,22,16,58
21cse0111,Tejaswi Jain,22,19,18,71
21cse0112,Kunal Dubey,26,26,19,85
21cse0113,Hemant Bajaj,29,25,29,100
21cse0114,Neha Chowdary,24,19,22,82
21cse0115,Hemant Shetty,23,21,21,67
 21cse0116 ,Aarav Chopra,16,20,16,53
21cse0117,Kunal Tiwari,23,22,21,100
21cse0118,Vikram Acharya,22,21,24,49
21cse0119,Keerthi Lal,21,16,19,73
21cse0120,Dinesh Agarwal,20,20,,78
23ece0001,Aishwarya Verma,16,14,16,52
23ece0002,Sowmya Naidu,19,23,20,81
23ece0003,Nitin Sinha,20,17,22,58
23ece0004,Aparna Nambiar,22,26,25,94
23ece0005,Daniel Sharma,16,25,,79
23ece0006,Zubair Naidu,23,24,25,100
23ece0007,Zubair Mishra,18,17,19,57
23ece0008,Devika Pillai,21,22,16,60
23ece0009,Aparna Chowdary,24,30,29,89
 23ece0010 ,Preeti Verma,30,30,23,63
23ece0011,Vaishnavi Lal,19,18,22,75
23ece0012,Lakshmi Joshi,18,AB,23,67
23ece0013,Vivek Banerjee,19,21,21,58
23ece0014,Anusha Chopra,25,23,26,88
 23ece0015 ,Priya Hegde,18,9,16,73
23ece0016,Irfan Bhat,30,24,20,93
23ece0017,Priya Kamath,20,23,24,65
23ece0018,Ritika Chopra,26,21,17,62
23ece0019,Ruth Yadav,19,20,14,64
23ece0020,Pooja Iyer,25,19,24,76
23ece0021,Tarun Bhandari,24,24,25,83
23ece0022,Zubair Kamath,19,15,16,51
23ece0023,Varsha Banerjee,20,17,19,64
23ece0024,Nagraj Naidu,24,AB,26,98
23ece0025,Pooja Patel,25,25,26,99
23ece0026,Esther Jain,18,27,23,89
23ece0027,Bharat Mehta,23,15,,82
23ece0028,Tarun Raut,26,19,22,82
23ece0029,Ruth Oberoi,18,26,21,75
23ece0030,Vishal Raut,14,20,AB,60
23ece0031,Sirisha Nambiar,21,26,,66
23ece0032,Chetan Chowdary,20,18,20,91
23ece0033,Pranav Khanna,17,21,18,88
23ece0034,Aarav Patel,21,20,22,91
 23ece0035 ,Vishal Thakur,18,19,23,76
23ece0036,Madhuri Sharma,AB,23,22,70
23ece0037,Meera Mishra,21,25,19,65
23ece0038,Samuel Pillai,20,16,16,65
23ece0039,Fahad Kaur,25,25,23,66
23ece0040,Praveen Vaidya,24,24,20,84
23ece0041,Sushma Mishra,25,20,19,87
23ece0042,Anjali Dubey,30,28,27,97
23ece0043,Madhuri Raut,19,18,18,54
23ece0044,Sowmya Tiwari,26,22,26,80
 23ece0045 ,Anusha Yadav,25,9,21,77
23ece0046,Amit Joshi,25,28,23,81
23ece0047,Nagraj Joshi,25,22,16,62
23ece0048,Anita Vaidya,23,18,20,56
23ece0049,Amit Agarwal,28,16,20,79
23ece0050,Pallavi Menon,23,20,27,75
23ece0051,Malini Rathore,24,18,20,71
23ece0052,Nandini Nambiar,22,15,23,64
23ece0053,Ruth Trivedi,13,14,23,87
23ece0054,Aishwarya Kulkarni,24,24,18,85
23ece0055,Ayesha Patel,21,16,18,76
 23ece0056 ,Esther Nair,22,13,19,59
23ece0057,Sneha Bose,21,19,21,70
23ece0058,Mahesh Bhandari,29,21,26,99
23ece0059,Joseph Tiwari,22,21,27,95
23ece0060,Esther Patel,22,20,22,91
 23ece0061 ,Keerthi Dutta,21,26,22,89
23ece0062,Ayesha Mukherjee,26,30,28,92
23ece0063,Aditya Joshi,16,14,23,61
23ece0064,Pooja Desai,21,14,25,85
23ece0065,Thomas Panicker,28,24,20,91
23ece0066,Omkar Mishra,21,23,18,72
23ece0067,Karthik Bhandari,13,19,19,66
 23ece0068 ,Sneha Jain,21,19,24,95
23ece0069,Swathi Dubey,26,25,AB,86
 23ece0070 ,Preeti Gupta,24,22,30,87
23ece0071,Shweta Bhandari,18,22,14,64
23ece0072,Zubair Kamath,20,27,26,83
23ece0073,Sathish Bajaj,23,29,22,60
23ece0074,Priya Sequeira,20,13,17,67
23ece0075,Praveen Kaur,28,19,24,92
 23ece0076 ,Ritika Bhat,15,11,23,72
23ece0077,Praveen Tiwari,23,22,25,70
23ece0078,Pallavi Kamath,18,14,16,75
 23ece0079 ,Grace Bose,24,26,23,100
23ece0080,Girish Varma,26,25,28,97
23ece0081,Amit Kamath,18,21,19,88
23ece0082,Anita Verma,30,21,23,79
23ece0083,Kunal Desai,20,21,22,62
 23ece0084 ,Sneha Verma,20,26,23,64
 23ece0085 ,Kavya Banerjee,17,16,AB,76
23ece0086,Ishita Bajaj,18,17,17,67
23ece0087,Tarun Yadav,23,27,24,100
23ece0088,Gopal Nair,28,23,22,84
23ece0089,Nitin Sequeira,26,23,22,94
23ece0090,Chetan Lal,26,20,15,77
23ece0091,Ananya Khanna,24,17,24,100
23ece0092,Joseph Kumar,27,20,19,82
 23ece0093 ,Shalini Rao,27,24,25,100
 23ece0094 ,Imran Acharya,22,25,24,100
23ece0095,Tejaswi Lal,23,18,17,63
23ece0096,Kunal Tiwari,19,18,22,82
23ece0097,Aishwarya Kaur,28,29,19,100
 23ece0098 ,Mahesh Thakur,14,19,21,85
23ece0099,Gaurav Raut,24,29,23,85
23ece0100,Gayatri Dubey,19,13,21,67
 23ece0101 ,Pooja Bhat,24,17,15,87
23ece0102,Vivek Agarwal,21,24,23,75
23ece0103,Thomas Gowda,21,25,7,85
 23ece0104 ,Arjun Rao,25,17,,61
23ece0105,Sagar Reddy,22,29,30,100
23ece0106,Shreya Desai,16,12,11,72
23ece0107,Grace Trivedi,16,6,21,55
 23ece0108 ,Rohit Saxena,21,AB,22,86
23ece0109,Ravi Thakur,21,20,22,75
23ece0110,Joseph Wadhwa,22,29,18,80
23ece0111,Nithya Jain,28,23,24,89
 23ece0112 ,Aishwarya Mishra,17,14,21,56
23ece0113,Ruth Reddy,25,18,18,89
23ece0114,Deepika Kamath,17,19,20,69
23ece0115,Ajay Shetty,22,AB,21,85
23ece0116,Thomas Mehta,23,22,25,84
 23ece0117 ,Sanjana Thakur,27,28,26,86
23ece0118,Charan Bhandari,25,28,29,83
 23ece0119 ,Yash Tiwari,26,27,28,88
23ece0120,Lokesh Khanna,18,20,,78
22ece0001,Sanjana Bajaj,24,23,23,87
22ece0002,Aishwarya Kaur,26,19,22,88
22ece0003,Jatin Sharma,19,22,17,87
22ece0004,Shalini Rathore,21,25,,84
 22ece0005 ,Siddharth Joshi,26,25,18,89
22ece0006,Aparna Joshi,24,20,21,63
22ece0007,Sneha Kulkarni,15,7,0,24
22ece0008,Kalyani Sharma,25,26,30,99
22ece0009,Varsha Wadhwa,27,24,20,81
22ece0010,Nagraj Joshi,30,29,23,71
22ece0011,Vikram Saxena,16,21,22,79
22ece0012,Shalini Gowda,18,16,19,64
22ece0013,Swathi Pandey,21,20,27,85
22ece0014,Rohit Mishra,23,19,24,80
 22ece0015 ,Nikhil Ghosh,23,26,21,100
22ece0016,Charan Vaidya,29,24,28,93
22ece0017,Ramya Banerjee,21,18,23,62
22ece0018,Nikhil Iyer,26,25,29,80
 22ece0019 ,Suresh Dubey,26,19,15,73
22ece0020,Praveen Bhat,21,28,27,98
22ece0021,Chaitra Tiwari,26,15,13,66
22ece0022,Anjali Fernandes,20,21,22,78
22ece0023,Kiran Bhandari,23,24,,98
22ece0024,Rakesh Bhandari,28,30,25,96
22ece0025,Aparna Chowdary,21,20,21,72
22ece0026,Pallavi Bhandari,22,20,21,97
22ece0027,Aparna Reddy,AB,22,30,81
22ece0028,Lokesh Bose,22,23,25,82
 22ece0029 ,Anita Kumar,22,16,18,70
22ece0030,Irfan Bhat,19,26,16,77
22ece0031,Bindu Joshi,24,23,21,64
22ece0032,Sushma Agarwal,23,25,28,85
22ece0033,Ravi Varma,18,21,29,67
 22ece0034 ,Swathi Singh,21,20,23,84
22ece0035,Siddharth Verma,18,25,24,82
22ece0036,Jatin Singh,23,22,17,79
22ece0037,Sagar Sequeira,15,25,AB,76
22ece0038,Sowmya Kulkarni,28,25,30,85
22ece0039,Vishal Bhat,24,27,,83
 22ece0040 ,Divya Chauhan,21,27,24,90
 22ece0041 ,Nandini Kumar,19,22,19,74
22ece0042,Rukhsar Bajaj,25,19,18,77
22ece0043,Charan Trivedi,19,16,13,43
22ece0044,Amit Shetty,29,17,22,67
 22ece0045 ,Devika Iyer,23,15,23,73
22ece0046,Bhavana Agarwal,18,17,22,85
22ece0047,Rahul Panicker,20,21,30,100
22ece0048,Aparna Chowdary,13,19,AB,85
22ece0049,Sathish Trivedi,21,23,,89
22ece0050,Ravi Bhat,17,27,24,89
22ece0051,Shalini Tiwari,19,24,21,70
 22ece0052 ,Charan Saxena,26,29,26,80
22ece0053,Vivek Thakur,23,21,24,70
 22ece0054 ,Varsha Banerjee,17,20,24,68
 22ece0055 ,Rohit Kulkarni,15,17,14,69
22ece0056,Rakesh Acharya,24,29,23,100
22ece0057,Hemant Wadhwa,18,22,21,100
22ece0058,Vaishnavi Ghosh,20,28,17,85
22ece0059,Kunal Gowda,20,19,20,100
22ece0060,Umesh Bhat,28,24,19,97
 22ece0061 ,Sana Trivedi,25,21,23,81
22ece0062,Mahesh Mishra,24,30,28,99
22ece0063,Aditya Shetty,27,24,21,72
22ece0064,Keerthi Mehta,24,24,18,98
22ece0065,Malini Trivedi,25,30,25,100
22ece0066,Jyothi Mishra,24,23,24,79
22ece0067,Harini Pillai,AB,19,15,74
22ece0068,Ramya Wadhwa,23,20,25,93
22ece0069,Zubair Tiwari,20,26,19,100
22ece0070,Kalyani Chauhan,25,21,18,95
22ece0071,Hemant Rathore,18,13,18,46
 22ece0072 ,Yash Agarwal,25,17,13,67
22ece0073,Devika Dubey,18,22,AB,59
 22ece0074 ,Dinesh Kumar,17,21,22,43
22ece0075,Keerthi Nambiar,20,21,AB,77
22ece0076,Sirisha Banerjee,29,22,24,100
22ece0077,Rukhsar Mehta,28,20,18,87
22ece0078,Vishal Bhat,21,28,28,98
22ece0079,Devika Mishra,16,22,18,97
22ece0080,Omkar Hegde,21,21,,83
 22ece0081 ,Sneha Bose,17,18,13,72
 22ece0082 ,Yash Dubey,20,21,17,89
 22ece0083 ,Kunal Singh,17,23,20,90
22ece0084,Lokesh Yadav,25,29,30,100
22ece0085,Zubair Kaur,22,20,17,72
22ece0086,Varun Khanna,17,23,20,45
22ece0087,Joseph Vaidya,23,24,28,78
22ece0088,Sneha Rao,25,25,22,88
22ece0089,Deepika Bajaj,30,25,26,96
22ece0090,Kunal Iyer,18,18,26,73
22ece0091,Gopal Pandey,24,22,30,100
22ece0092,Kavya Mukherjee,20,18,21,85
 22ece0093 ,Yash Tiwari,24,AB,25,99
 22ece0094 ,Kavya Bajaj,24,30,27,83
 22ece0095 ,Lokesh Nair,22,23,22,74
22ece0096,Vikram Vaidya,24,19,21,60
22ece0097,Pallavi Jain,17,21,26,62
 22ece0098 ,Jatin Chauhan,23,24,25,96
22ece0099,Vivek Rao,17,23,17,76
22ece0100,Imran Das,AB,22,18,76
22ece0101,Shalini Bhandari,25,19,21,71
22ece0102,Rahul Iyer,27,22,22,91
22ece0103,Rakesh Yadav,19,26,15,83
